"items_2012","items_2013","items_2014","items_2015","items_2016","items_2017","items_2018","items_2019","items_2020","freq_2012","freq_2013","freq_2014","freq_2015","freq_2016","freq_2017","freq_2018","freq_2019","freq_2020"
"fishnet.bin","synthrope.bin","fishline.tang.bin","synthrope.bin","synthrope.bin","synthrope.bin","synthrope.bin","fishline.mono.bin","fishline.mono.bin",32,45,52,60,33,10,54,60,59
"other.plas.bin","sheet.bin","sheet.bin","sheet.bin","fishline.mono.bin","fishline.mono.bin","fishline.mono.bin","sheet.bin","synthrope.bin",32,35,34,28,31,8,47,53,54
"fishline.mono.bin","fishline.mono.bin","fishnet.bin","fishline.tang.bin","sheet.bin","sheet.bin","sheet.bin","synthrope.bin","sheet.bin",11,26,31,20,30,5,36,49,50
"synthrope.bin","crates.bin","bag.bin","bag.bin","other.misc.bin","bag.bin","bag.bin","bag.bin","fishline.tang.bin",11,16,26,14,6,5,21,17,22
"crates.bin","bag.bin","rope.bin","fishline.mono.bin","caps.bin","other.plas.bin","fishline.tang.bin","fishline.tang.bin","other.plas.bin",5,14,18,13,3,5,16,13,19
"other.met.bin","bottles.plas.bin","other.plas.bin","fishnet.bin","other.plas.bin","bottles.plas.bin","fishnet.bin","other.plas.bin","bag.bin",5,9,17,11,3,3,14,9,13
"clothing.bin","rope.bin","bottles.plas.bin","other.plas.bin","fishing.met.bin","caps.bin","clothing.bin","fishnet.bin","clothing.bin",5,9,15,7,3,2,13,7,9
"other.misc.bin","other.misc.bin","other.misc.bin","other.misc.bin","other.met.bin","fishline.tang.bin","other.rub.bin","clothing.bin","bottles.plas.bin",5,9,10,7,3,1,11,7,8
"bag.bin","clothing.bin","other.rub.bin","caps.bin","clothing.bin","fishnet.bin","other.plas.bin","band.bin","other.rub.bin",4,8,7,5,3,1,9,5,8
"sheet.bin","fishline.tang.bin","pallets.bin","clothing.bin","bottles.plas.bin","cabletie.bin","other.met.bin","other.met.bin","rope.bin",3,7,6,4,2,0,9,5,8
"fishline.tang.bin","cabletie.bin","cans.food.bin","bottles.plas.bin","bag.bin","band.bin","gloves.bin","bottles.glass.bin","fishnet.bin",3,6,2,3,2,0,5,5,6
"bottles.plas.bin","fishnet.bin","cans.drink.bin","paper.bin","fishline.tang.bin","crates.bin","rope.bin","cans.drink.bin","cans.drink.bin",1,4,2,3,2,0,5,4,4
"cabletie.bin","other.rub.bin","fishing.met.bin","pallets.bin","wellies.bin","nappies.bin","bottles.plas.bin","fishing.met.bin","gloves.bin",1,3,1,3,2,0,4,4,4
"cans.food.bin","caps.bin","cables.bin","band.bin","other.rub.bin","sanitary.bin","cans.drink.bin","other.rub.bin","band.bin",1,2,1,1,2,0,4,4,3
"balloons.bin","cans.food.bin","tyre.bin","cans.drink.bin","rope.bin","cans.food.bin","other.misc.bin","cans.food.bin","fishing.met.bin",1,2,1,1,2,0,4,3,3
