"items_2012","items_2013","items_2014","items_2015","items_2016","items_2017","items_2018","items_2019","items_2020","freq_2012","freq_2013","freq_2014","freq_2015","freq_2016","freq_2017","freq_2018","freq_2019","freq_2020"
"synthrope.bin","synthrope.bin","sheet.bin","synthrope.bin","synthrope.bin","synthrope.bin","fishline.mono.bin","synthrope.bin","synthrope.bin",162,233,230,248,288,286,339,388,336
"other.plas.bin","sheet.bin","bag.bin","sheet.bin","sheet.bin","sheet.bin","synthrope.bin","fishline.mono.bin","fishline.mono.bin",106,206,203,190,266,284,339,346,306
"fishline.mono.bin","fishline.mono.bin","synthrope.bin","bag.bin","fishline.mono.bin","fishline.mono.bin","sheet.bin","sheet.bin","sheet.bin",95,156,182,112,233,192,337,334,289
"fishnet.bin","bag.bin","fishline.tang.bin","fishline.mono.bin","bag.bin","bag.bin","bag.bin","bag.bin","bag.bin",88,138,162,107,116,98,185,176,148
"bag.bin","fishline.tang.bin","fishline.mono.bin","fishline.tang.bin","fishline.tang.bin","other.plas.bin","other.plas.bin","other.plas.bin","fishline.tang.bin",71,91,159,96,105,96,130,115,131
"fishline.tang.bin","fishnet.bin","fishnet.bin","other.plas.bin","other.plas.bin","fishline.tang.bin","fishline.tang.bin","fishline.tang.bin","other.plas.bin",49,58,111,70,86,92,113,105,113
"sheet.bin","crates.bin","other.plas.bin","fishnet.bin","band.bin","band.bin","fishnet.bin","fishnet.bin","bottles.plas.bin",48,56,102,56,50,65,65,66,47
"rope.bin","other.plas.bin","rope.bin","caps.bin","fishnet.bin","caps.bin","clothing.bin","clothing.bin","fishnet.bin",43,56,54,43,47,46,61,43,45
"crates.bin","rope.bin","bottles.plas.bin","other.misc.bin","caps.bin","fishnet.bin","rope.bin","rope.bin","clothing.bin",41,49,41,41,43,45,51,39,41
"wood.proc.bin","caps.bin","other.misc.bin","band.bin","clothing.bin","other.misc.bin","other.misc.bin","band.bin","rope.bin",35,47,31,37,43,40,47,37,35
"clothing.bin","band.bin","clothing.bin","clothing.bin","other.misc.bin","rope.bin","other.met.bin","other.rub.bin","other.rub.bin",30,37,26,32,39,34,41,35,32
"other.misc.bin","clothing.bin","other.rub.bin","rope.bin","gloves.bin","clothing.bin","bottles.plas.bin","bottles.plas.bin","cans.drink.bin",30,37,20,27,37,32,40,33,31
"caps.bin","bottles.plas.bin","cans.drink.bin","gloves.bin","bottles.plas.bin","bottles.plas.bin","other.rub.bin","gloves.bin","band.bin",25,35,19,24,34,27,40,31,29
"other.met.bin","cabletie.bin","other.met.bin","other.met.bin","rope.bin","cabletie.bin","band.bin","wood.proc.bin","bobbins.bin",21,27,16,20,30,24,38,26,20
"bottles.plas.bin","wood.proc.bin","wood.proc.bin","bottles.plas.bin","wood.proc.bin","other.rub.bin","cans.drink.bin","other.met.bin","gloves.bin",17,27,15,19,24,24,35,24,19
